"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 06:47:38 GMT 2024","Thu Nov 07 06:47:41 GMT 2024","2931","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:35 GMT 2024","Thu Nov 07 06:47:38 GMT 2024","2773","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:27 GMT 2024","Thu Nov 07 06:47:31 GMT 2024","3317","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:45 GMT 2024","Thu Nov 07 06:47:47 GMT 2024","2532","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:45 GMT 2024","Thu Nov 07 06:47:48 GMT 2024","2884","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:41 GMT 2024","Thu Nov 07 06:47:44 GMT 2024","2804","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:49 GMT 2024","Thu Nov 07 06:47:49 GMT 2024","0","CrossBrowser test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Thu Nov 07 06:47:38 GMT 2024","Thu Nov 07 06:47:41 GMT 2024","2601","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:27 GMT 2024","Thu Nov 07 06:47:31 GMT 2024","3604","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:42 GMT 2024","Thu Nov 07 06:47:45 GMT 2024","3129","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:35 GMT 2024","Thu Nov 07 06:47:38 GMT 2024","2904","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:48 GMT 2024","Thu Nov 07 06:47:49 GMT 2024","1563","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the app are correct and as expected."
"passed","Thu Nov 07 06:47:31 GMT 2024","Thu Nov 07 06:47:34 GMT 2024","2962","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 06:47:48 GMT 2024","Thu Nov 07 06:47:50 GMT 2024","1541","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the app are correct and as expected."
"unknown","Thu Nov 07 06:47:26 GMT 2024","Thu Nov 07 06:47:26 GMT 2024","1","CrossBrowser test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Thu Nov 07 06:47:31 GMT 2024","Thu Nov 07 06:47:35 GMT 2024","3345","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
