"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 07:33:36 GMT 2024","Thu Nov 07 07:33:41 GMT 2024","5011","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:36 GMT 2024","Thu Nov 07 07:33:42 GMT 2024","5505","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:56 GMT 2024","Thu Nov 07 07:33:56 GMT 2024","0","CrossBrowser test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Thu Nov 07 07:33:19 GMT 2024","Thu Nov 07 07:33:24 GMT 2024","5342","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:45 GMT 2024","Thu Nov 07 07:33:50 GMT 2024","4476","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:52 GMT 2024","Thu Nov 07 07:33:54 GMT 2024","1922","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the app are correct and as expected."
"passed","Thu Nov 07 07:33:53 GMT 2024","Thu Nov 07 07:33:55 GMT 2024","2147","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the app are correct and as expected."
"unknown","Thu Nov 07 07:32:51 GMT 2024","Thu Nov 07 07:32:51 GMT 2024","1","CrossBrowser test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Thu Nov 07 07:33:01 GMT 2024","Thu Nov 07 07:33:07 GMT 2024","5594","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:44 GMT 2024","Thu Nov 07 07:33:48 GMT 2024","4550","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:01 GMT 2024","Thu Nov 07 07:33:07 GMT 2024","5689","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:19 GMT 2024","Thu Nov 07 07:33:24 GMT 2024","5500","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:10 GMT 2024","Thu Nov 07 07:33:15 GMT 2024","5076","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:28 GMT 2024","Thu Nov 07 07:33:33 GMT 2024","5400","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:10 GMT 2024","Thu Nov 07 07:33:16 GMT 2024","5425","CrossBrowser test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
"passed","Thu Nov 07 07:33:27 GMT 2024","Thu Nov 07 07:33:32 GMT 2024","4744","CrossBrowser test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that top navigation menu functions correctly and clicking on menu items navigate to the expected URL with the expected title."
